Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,IM,GDP,LIT,Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,48,0,23.06,163,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38
Albania ,EASTERN EUROPE                     ,3581655,28748,124.6,1.26,-4.93,22,4500,87,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
American Samoa ,OCEANIA                            ,57794,199,290.4,58.29,-20.71,9,8000,97,259.5,10,15,75,2,22.46,3.27,,,
Andorra ,WESTERN EUROPE                     ,71201,468,152.1,0,6.6,4,19000,100,497.2,2.22,0,97.78,3,8.71,6.25,,,
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,0.13,0,191,1900,42,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246
Anguilla ,LATIN AMER. & CARIB    ,13477,102,132.1,59.8,10.76,21,8600,95,460,0,0,100,2,14.17,5.34,0.04,0.18,0.78
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,156,34.54,-6.15,19,11000,89,549.9,18.18,4.55,77.27,2,16.93,5.37,0.038,0.22,0.743
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,14.4,0.18,0.61,15,11200,97,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
Armenia ,C.W. OF IND. STATES ,2976372,29800,99.9,0,-6.47,23,3500,99,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418
Aruba ,LATIN AMER. & CARIB    ,71891,193,372.5,35.49,0,6,28000,97,516.1,10.53,0,89.47,2,11.03,6.68,0.004,0.333,0.663
Australia ,OCEANIA                            ,20264082,7686850,2.6,0.34,3.98,5,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7
Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,0,2,5,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,91.9,0,-4.9,82,3400,97,137.1,19.63,2.71,77.66,1,20.74,9.75,0.141,0.457,0.402
Bahamas. The ,LATIN AMER. & CARIB    ,303770,13940,21.8,25.41,-2.2,25,16700,96,460.6,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9
Bahrain ,NEAR EAST                          ,698585,665,1050.5,24.21,1.05,17,16900,89,281.3,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,0.4,-0.71,63,1900,43,7.3,62.11,3.07,34.82,2,29.8,8.27,0.199,0.198,0.603
Barbados ,LATIN AMER. & CARIB    ,279912,431,649.5,22.51,-0.31,13,15700,97,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78
Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,0,2.54,13,6100,100,319.1,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591
Belgium ,WESTERN EUROPE                     ,10379067,30528,340,0.22,1.23,5,29100,98,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749
Belize ,LATIN AMER. & CARIB    ,287730,22966,12.5,1.68,0,26,4900,94,115.7,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,0.11,0,85,1100,41,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546
Bermuda ,NORTHERN AMERICA                   ,65773,53,1241,194.34,2.49,9,36000,98,851.4,20,0,80,2,11.4,7.74,0.01,0.1,0.89
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0,0,100,1300,42,14.3,3.09,0.43,96.48,2,33.65,12.7,0.258,0.379,0.363
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0,-1.32,53,2400,87,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,0,0,55,9000,80,80.5,0.65,0.01,99.34,1,23.08,29.5,0.024,0.469,0.507
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,22.1,0.09,-0.03,30,7600,86,225.3,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,151,52.29,10.01,18,16000,98,506.5,20,6.67,73.33,2,14.89,4.42,0.018,0.062,0.92
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,2.79,3.59,13,18600,94,237.2,0.57,0.76,98.67,2,18.79,3.45,0.036,0.561,0.403
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,66.6,0.32,-4.58,21,7600,99,336.3,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,0,0,98,1100,27,7,14.43,0.19,85.38,2,45.62,15.6,0.322,0.196,0.482
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,0.28,-1.8,67,1800,85,10.1,15.19,0.97,83.84,2,17.91,9.83,0.564,0.082,0.353
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,0,-0.06,69,600,52,3.4,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0.24,0,71,1900,69,2.6,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0.08,0,68,1800,79,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,2.02,5.96,5,29800,97,552.2,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,23.93,-12.07,48,1400,77,169.6,9.68,0.5,89.82,3,24.87,6.55,0.121,0.219,0.66
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,173.4,61.07,18.75,8,35000,98,836.3,3.85,0,96.15,2,12.74,4.89,0.014,0.032,0.954
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,0,0,91,1100,51,2.3,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,0,-0.11,94,1200,48,1.3,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406
Chile ,LATIN AMER. & CARIB    ,16134219,756950,21.3,0.85,0,9,9900,96,213,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,0.15,-0.4,24,5000,91,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,0.28,-0.31,21,6300,93,176.2,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,15.67,0,75,700,57,24.5,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56
Congo. Dem. Rep. ,SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,0,0,95,700,66,0.2,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34
Congo. Repub. of the ,SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,0.05,-0.17,94,700,84,3.7,0.51,0.13,99.36,2,42.57,12.93,0.062,0.57,0.369
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,79.8,2.52,0.51,10,9100,96,340.7,4.41,5.88,89.71,2,18.32,4.36,0.088,0.299,0.614
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,0.16,-0.07,91,1400,51,14.6,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55
Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,10.32,1.58,7,10600,99,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,102.7,3.37,-1.58,6,2900,97,74.7,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684
Cyprus ,NEAR EAST                          ,784301,9250,84.8,7.01,0.43,7,19200,98,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,0,0.97,4,15700,100,314.3,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573
Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,16.97,2.48,5,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1.37,0,104,1300,68,22.8,0.04,0,99.96,1,39.53,19.31,0.179,0.225,0.596
Dominica ,LATIN AMER. & CARIB    ,68910,754,91.4,19.63,-13.87,14,5400,94,304.8,6.67,20,73.33,2,15.27,6.73,0.177,0.328,0.495
